,Unnamed: 0,recordId,priority,district,description,callNumber,incidentLocation,Latitude,Longitude,date
174918,889947,2799052,Low,SD,HIT AND RUN,P172400647,2600 SEAMON AV,39.253208,-76.62255400000001,2017-08-28
174947,889992,2777955,Low,ND,HIT AND RUN,P172322247,600 RADNOR AV,39.347668,-76.606965,2017-08-20
174985,890038,2739987,Low,NE,HIT AND RUN,P172190826,1700 MONTPELIER ST,39.319786,-76.59522,2017-08-07
174987,890041,2774966,Low,NE,HIT AND RUN,P172312118,3700 KENYON AV,39.317927000000005,-76.562208,2017-08-19
175020,890087,2710286,Low,SD,AUTO ACCIDENT,P172082502,2200 W PATAPSCO AV,39.251464,-76.646416,2017-07-27
175052,890128,2746729,Low,ND,HIT AND RUN,P172212139,4100 ROLAND AV,39.338606,-76.633422,2017-08-09
175099,890194,2722759,Low,SE,AUTO ACCIDENT,P172130557,600 S STREEPER ST,39.285136,-76.576459,2017-08-01
175113,890214,2783087,Low,ND,HIT AND RUN,P172341901,3900 N CHARLES ST,39.336472,-76.61823199999999,2017-08-22
175133,890239,2723647,Low,NW,AUTO ACCIDENT,P172131546,4200 BONNER RD,39.321369,-76.68784000000001,2017-08-01
175135,890242,2803191,Low,CD,HIT AND RUN,P172412160,100 MARKET PL,39.287924,-76.60686899999999,2017-08-29
175155,890268,2811082,Low,WD,AUTO ACCIDENT,P172441671,1800 BLK W BALTIMORE ST,39.288191,-76.645337,2017-09-01
175176,890308,2811328,Low,SE,HIT AND RUN,P172441928,5300 EASTERN AV,39.287310999999995,-76.551427,2017-09-01
175182,890323,2723944,Low,SE,AUTO ACCIDENT,P172131886,6800 EASTERN AV,39.288057,-76.531238,2017-08-01
175185,890327,2726718,Low,NW,AUTO ACCIDENT,P172141630,4000 N ROGERS AV,39.337771999999994,-76.70044399999999,2017-08-02
175198,890354,2737487,Low,SE,HIT AND RUN,P172180906,300 ALBEMARLE ST,39.286077,-76.602261,2017-08-06
175249,890464,2759972,Low,NE,HIT AND RUN,P172261433,5500 FORCE RD,39.321459999999995,-76.53825,2017-08-14
175382,890703,2901618,Low,SE,HIT AND RUN,P172772316,400 N MONTFORD AV,39.296018,-76.583541,2017-10-04
175394,890724,2924442,Low,NE,AUTO ACCIDENT,P172852434,2100 SINCLAIR LN,39.31427,-76.58876500000001,2017-10-12
175406,890755,2876167,Low,ND,HIT AND RUN,P172681806,2800/N CHARLES ST,39.322236,-76.61727900000001,2017-09-25
175418,890771,2824521,Low,NE,AUTO ACCIDENT,P172492309,5500 BLK SEFTON AV,39.348678,-76.558103,2017-09-06
175435,890793,2878957,Low,ED,HIT AND RUN,P172691884,700 N CURLEY ST,39.299437,-76.575971,2017-09-26
175437,890795,2815661,Low,CD,HIT AND RUN,P172460808,600 LAURENS ST,39.3043,-76.63559599999999,2017-09-03
175442,890801,2936211,Low,ND,HIT AND RUN,P172900553,3600 PAINE ST,39.331653,-76.63036899999999,2017-10-17
175457,890818,2876889,Low,ND,HIT AND RUN,P172682635,2900 OAKFORD AV,39.341509,-76.663004,2017-09-25
175465,890826,2821775,Low,ND,HIT AND RUN,P172482016,700 BEAVERBROOK RD,39.358444,-76.606177,2017-09-05
175472,890836,2848721,Low,NE,HIT AND RUN,P172582050,500 E COLD SPRING LN,39.34616,-76.609549,2017-09-15
175480,890846,2935349,Low,SD,AUTO ACCIDENT,P172892601,500 S SHARP ST,39.283179,-76.617603,2017-10-16
175483,890849,2907283,Low,SD,AUTO ACCIDENT,P172792191,4200 BLK MORRISON CT,39.227515999999994,-76.587942,2017-10-06
175494,890860,2875991,Low,NW,HIT AND RUN,P172681641,3400 LABYRINTH RD,39.36665,-76.698223,2017-09-25
175545,890924,2818614,Low,ND,AUTO ACCIDENT,P172471263,700 RADNOR AV,39.347555,-76.605862,2017-09-04
175553,890933,2895626,Low,NW,HIT AND RUN,P172751706,5100 PARK HEIGHTS AV,39.348489,-76.674908,2017-10-02
175554,890934,2912771,Low,SE,HIT AND RUN,P172811614,1700 LANCASTER ST,39.282577,-76.59303100000001,2017-10-08
175573,890957,2952351,Low,ED,HIT AND RUN,P172960845,2000 E FAYETTE ST,39.294134,-76.58884300000001,2017-10-23
175599,890992,2857162,Low,NE,HIT AND RUN,P172612298,3000 CLEARVIEW AV,39.369712,-76.546238,2017-09-18
175640,891054,2895724,Low,CD,AUTO ACCIDENT,P172751819,1000 ST PAUL ST,39.301063,-76.614306,2017-10-02
175648,891066,2923359,Low,ED,AUTO ACCIDENT,P172851167,500 E MADISON ST,39.298831,-76.608903,2017-10-12
175658,891076,2879927,Low,NE,HIT AND RUN,P172692988,3400 HARFORD RD,39.329102,-76.582429,2017-09-26
175661,891079,2849393,Low,SE,AUTO ACCIDENT,P172582809,6300 EASTERN AV,39.287698,-76.54061899999999,2017-09-15
175681,891109,2864674,Low,NW,HIT AND RUN,P172641457,3200 CLARKS LN,39.369618,-76.694201,2017-09-21
175708,891153,2907571,Low,SW,AUTO ACCIDENT,P172792529,3200 WASHINGTON BL,39.25817,-76.66273199999999,2017-10-06
175711,891156,2933887,Low,ND,AUTO ACCIDENT,P172890938,4700 N CHARLES ST,39.350724,-76.623038,2017-10-16
175771,891249,2933918,Low,ED,HIT AND RUN,P172890969,2000 E MONUMENT ST,39.298565,-76.589277,2017-10-16
175810,891314,2845571,Low,ED,AUTO ACCIDENT,P172571708,3600 PULASKI HY,39.296412,-76.567071,2017-09-14
175822,891343,2856791,Low,SW,HIT AND RUN,P172611948,4700 COLEHERNE RD,39.293873,-76.70148499999999,2017-09-18
175929,891541,2913012,Low,NE,HIT AND RUN,P172811974,3600 EDNOR RD,39.332104,-76.599271,2017-10-08
175934,891558,2959055,Low,CD,HIT AND RUN,P172982096,300 BLK W NORTH AV,39.310990000000004,-76.622436,2017-10-25
175944,891573,2865305,Low,SW,HIT AND RUN,P172642179,5100 WINDSOR MILL RD,39.309771999999995,-76.704923,2017-09-21
175957,891594,2901286,Low,NE,AUTO ACCIDENT,P172771937,2500/HARFORD RD,39.316763,-76.59526899999999,2017-10-04
175984,891634,2913512,Low,SW,AUTO ACCIDENT,P172812436,4400 OLD FREDERICK RD,39.289034,-76.690274,2017-10-08
176002,891671,2922837,Low,NE,AUTO ACCIDENT,P172850528,5700 MAPLEHILL RD,39.355878999999995,-76.57765400000001,2017-10-12
176042,891723,2857303,Low,NW,AUTO ACCIDENT,P172612446,2900 W COLD SPRING LN,39.338102,-76.669925,2017-09-18
176093,891792,2989068,Low,SE,HIT AND RUN,P173092137,400 FOLCROFT ST,39.288982,-76.541913,2017-11-05
176097,891798,2995118,Low,SD,AUTO ACCIDENT,P173120538,1700 RUSSELL ST,39.273463,-76.62875,2017-11-08
176187,891916,2978056,Low,CD,HIT AND RUN,P173052212,1700 MADISON AV,39.306379,-76.631058,2017-11-01
176219,891959,2945629,Low,NE,HIT AND RUN,P172932280,3300 KENYON AV,39.322788,-76.56575600000001,2017-10-20
176223,891968,2983977,Low,SE,HIT AND RUN,P173072675,300 ELRINO ST,39.290464,-76.54297199999999,2017-11-03
176226,891971,3043228,Low,NW,HIT AND RUN,P173312602,4200 ELDERON AV,39.341746,-76.689415,2017-11-27
176297,892059,2939928,Low,NE,HIT AND RUN,P172911824,6000 EURITH AV,39.346575,-76.530911,2017-10-18
176315,892080,3026763,Low,SW,HIT AND RUN,P173242271,4800 MELBOURNE RD,39.272822,-76.697546,2017-11-20
176331,892104,2961598,Low,SW,HIT AND RUN,P172991704,600 BRISBANE RD,39.274588,-76.69471800000001,2017-10-26
176347,892126,2988511,Low,ND,HIT AND RUN,P173091463,3000 DUPONT AV,39.344184999999996,-76.665769,2017-11-05
176373,892164,2995200,Low,NE,AUTO ACCIDENT,P173120636,3900 EDNOR RD,39.335271,-76.59925,2017-11-08
176408,892215,2988413,Low,NW,HIT AND RUN,P173091359,2200 ROGENE DR,39.369993,-76.667112,2017-11-05
176413,892220,2955447,Low,ED,HIT AND RUN,P172971349,5000 PULASKI HY,39.299476,-76.555307,2017-10-24
176416,892231,3079269,Low,ND,HIT AND RUN,P173461669,1100 CEDARCROFT RD,39.369566999999996,-76.59723100000001,2017-12-12
176461,892316,2955991,Low,ND,AUTO ACCIDENT,P172971959,2500 GREENMOUNT AV,39.318382,-76.60945500000001,2017-10-24
176463,892318,3019090,Low,CD,AUTO ACCIDENT,P173212116,400-E E SARATOGA ST,39.292491,-76.61012,2017-11-17
176464,892319,3017059,Low,SW,HIT AND RUN,P173202703,5200 WINDSOR MILL RD,39.309921,-76.706374,2017-11-16
176503,892380,2974676,Low,SW,AUTO ACCIDENT,P173041510,900 LYNDHURST ST,39.298003,-76.681392,2017-10-31
176516,892406,3044012,Low,NE,HIT AND RUN,P173320515,2200 PINEWOOD AV,39.366322,-76.56916,2017-11-28
