,Unnamed: 0,recordId,priority,district,description,callNumber,incidentLocation,Latitude,Longitude,date
452135,2086731,3415252,Medium,WD,NARCOTICSOutside,P181161729,2300 BLK MOSHER ST,39.299527000000005,-76.65401999999999,2018-04-26
443349,2061782,3411740,Medium,SW,NARCOTICSOutside,P181150586,2700 WILKENS AV,39.278036,-76.658804,2018-04-25
199817,1472358,2560863,Medium,ND,NARCOTICS INSIDE,P171581219,500 E COLD SPRING LN,39.34616,-76.609549,2017-06-07
32697,144826,2983605,Medium,CD,NARCOTICSOutside,P173072273,1800 PENNSYLVANIA AV,39.304429999999996,-76.635769,2017-11-03
63888,349474,2502424,Medium,WD,NARCOTICSOutside,P171382927,600-606 CUMBERLAND ST,39.308995,-76.642089,2017-05-18
598917,3369785,2492919,Medium,NW,NARCOTICSOutside,P171352736,REISTERSTOWN PLAZA,39.456413,-76.816576,2017-05-15
552244,3169882,2505227,Medium,NW,NARCOTICSOutside,P171392419,3300 GARRISON BL,39.326683,-76.68258,2017-05-19
313894,1721246,3239776,Medium,NW,NARCOTICS INSIDE,P180411727,3800 LIBERTY HEIGHTS AV,39.326434000000006,-76.67909399999999,2018-02-16
162391,798845,2848731,Medium,WD,NARCOTICSOutside,P172582058,2300 WHITTIER AV,39.31627,-76.647964,2017-09-15
502874,2901773,3095862,Medium,CD,NARCOTICSOutside,P173532048,100 N HOWARD ST,39.290597,-76.619519,2017-12-19
378429,1882931,3325221,Medium,SD,NARCOTICSOutside,P180812529,1300 SARGEANT ST,39.280776,-76.63611,2018-03-22
437842,2042647,3404560,Medium,SD,NARCOTICSOutside,P181121516,1300 SARGEANT ST,39.280776,-76.63611,2018-04-22
399348,1937493,3353354,Medium,ED,NARCOTICSOutside,P180931535,1600 E LANVALE ST,39.309515000000005,-76.596402,2018-04-03
657408,3570094,2783489,Medium,SW,NARCOTICSOutside,P172342343,200 S WICKHAM RD,39.282343,-76.69574899999999,2017-08-22
685403,3663483,3101897,Medium,CD,NARCOTICSOutside,P173560026,1700 MCCULLOH ST,39.305795,-76.631849,2017-12-22
54001,246717,2979373,Medium,SW,NARCOTICSOutside,P173060609,500 N EDGEWOOD ST,39.29272,-76.67546999999999,2017-11-02
409437,1964779,3364500,Medium,SE,NARCOTICSOutside,P180971709,400 N MONTFORD AV,39.296018,-76.583541,2018-04-07
706903,3747142,3090469,Medium,WD,NARCOTICSOutside,P173511233,1800 BLK W LEXINGTON ST,39.290564,-76.64583499999999,2017-12-17
555816,3173467,2622983,Medium,SD,NARCOTICSOutside,P171783252,1300 BLK PONTIAC AV,39.231965,-76.592786,2017-06-27
403965,1950226,3359276,Medium,SW,NARCOTICS INSIDE,P180952221,2700 WILKENS AV,39.278036,-76.658804,2018-04-05
642727,3483846,3062717,Medium,NE,NARCOTICS INSIDE,P173391895,4300 BELAIR RD,39.328388000000004,-76.565079,2017-12-05
