,LicenseClass,SubClass,LicenseNumber,LicenseDate,LicenseEndDate,LicenseYear,LicenseFee,CertificateNumber,LicenseStatus,LicenseeFirstName,LicenseeLastName,TradeName,CorpName,EstablishmentDesc,DayPerWeek,Description,AddrStreet,AddrZip,2010 Census Wards Precincts,2010 Census Neighborhoods,Zip Codes,longitude,latitude
20714,LBD7,BWL,359.0,2017-05-01,2018-04-30,2017,1320.0,1066,Renewed,RICHARD,SOUCY,CITY LIMITS SPORTS BAR,"1700 EAST FORT AVENUE, LLC",Tavern,7 days,"Beer, Wine, & Liquor",1700-04 FORT AVENUE EAST,21230,169.0,137.0,27953.0,39.268003, -76.590887
20715,LC,BWL,49.0,2017-05-01,2018-04-30,2017,550.0,1179,Renewed,RICHARD P.,POREMSKI,POLISH NATIONAL ALLIANCE COUNCIL 21,POLISH NATIONAL ALLIANCE COUNCIL 21,Non-Profits only,7 days,"Beer, Wine, & Liquor",1627-33 EASTERN AVENUE,21231,286.0,68.0,27954.0,39.285538, -76.59458
20716,LBD7,BWL,298.0,2017-05-01,2018-04-30,2017,1320.0,0932,Renewed,REGINA MARIA,POWERS,AIRPORT BAR & GRILL,"RIVERVIEW AIRPORT BAR & GRILL, INC.",Tavern,7 days,"Beer, Wine, & Liquor",6500 RIVERVIEW AVENUE,21222,133.0,113.0,27628.0,39.257436, -76.531395
20717,LBD7,BWL,405.0,2017-05-01,2018-04-30,2017,1320.0,1153,Renewed,BARBARA L.,LIBERTO  (S SP),CAMDEN PUB,"TEASER'S, INC.",Tavern,7 days,"Beer, Wine, & Liquor",645-47 PRATT STREET WEST,21201,1.0,194.0,27953.0,39.286139, -76.625164
20718,LBD7,BWL,307.0,2017-05-01,2018-04-30,2017,1320.0,0976,Renewed,CHRISTOPHER,PETRIE,LIGHTHOUSE TAVERN,"CRP RESTAURANT INVESTMENTS, INC.",Tavern,7 days,"Beer, Wine, & Liquor",1224-26 CLINTON STREET SOUTH,21224,131.0,30.0,27935.0,39.279145, -76.569496
20719,LB,BWL,312.0,2017-05-01,2018-04-30,2017,3000.0,1192,Renewed,TERRY LEE,COFFMAN,SUPANO'S STEAK HOUSE,"110 WATER STREET SERIES 274, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",110 WATER STREET,21202,6.0,65.0,13645.0,39.288283, -76.613069
20720,LBD7,BWL,299.0,2017-05-01,2018-04-30,2017,1320.0,0933,Renewed,MUSTAFA,JACKSON,DOWNTOWN LOUNGE,"FOUR ONE FOUR, LLC",Tavern,7 days,"Beer, Wine, & Liquor",414-16 BALTIMORE STREET EAST,21202,6.0,65.0,13645.0,39.289765, -76.60958
20721,LB,BWL,269.0,2017-05-01,2018-04-30,2017,1320.0,0972,Renewed,NESTOR,NOVA,NANDO'S PERI PERI,"NANDO'S 421 WEST, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",421 BALTIMORE STREET WEST,21201,5.0,65.0,13642.0,39.289261, -76.621908
20722,LA,BWL,188.0,2017-05-01,2018-04-30,2017,858.0,0943,Renewed,MICHAEL,GHEBRU,DOC'S LIQUOR,"DOC  LIQUORS , INC",Package goods only,6 days,"Beer, Wine, & Liquor",1501 FULTON AVENUE NORTH,21217,36.0,221.0,27301.0,39.305411, -76.646104
20723,D,B,4.0,2017-05-01,2018-04-30,2017,200.0,1219,Renewed,RICHARD,"O'KEEFE, JR.",PEABODY HEIGHTS BREWERY AT OLD ORIOLE PARK,"PEABODY HEIGHTS BREWERY, LLC",Brewery,7 days,Beer,401 30TH STREET EAST,21218,33.0,1.0,27307.0,39.324693, -76.610403
20724,LBD7,BWL,329.0,2017-05-01,2018-04-30,2017,1320.0,1024,Renewed,LAURA,WIESLER,LYRIC OPERA HOUSE,"LYRIC, INC.",Tavern,7 days,"Beer, Wine, & Liquor",128-40 MT. ROYAL AVENUE WEST,21201,96.0,151.0,13642.0,39.305655, -76.618497
